Symbol,Market_cap,Enterprise_value,Price_to_sale,Price_to_book,Value_to_revenue,Value_to_EBITDA,Profit_margin,Operating_margin,Return_on_asset,Return_on_equity,Revenue,Revenue_per_share,Quarterly_revenue_growth,Gross_profit,EBITDA,Netincome_avi_to_common,Dilutted_eps,Total_cash,Total_cash_per_share,Total_debt,Total_debt_to_equity,Current_ratio,Book_value_per_share,Operating_cash_flow,Levered_Free_cash_flow,current_price,last_quarter_price,last_year_price
DIOD,4080000000.0,4080000000.0,2.91,3.77,8.65,34.67,0.1152,0.1393,0.0716,0.16210000000000002,1680000000.0,36.54,0.523,431120000.0,353650000.0,192980000.0,4.12,287910000.0,6.39,293440000.0,24.11,2.39,25.68,321770000.0,201580000.0,90.58999633789062,79.7699966430664,56.45000076293945
DISCA,12650000000.0,24860000000.0,1.49,1.11,7.89,12.74,0.1042,0.18100000000000002,0.0397,0.11199999999999999,11890000000.0,20.43,0.23,6860000000.0,3550000000.0,1110000000.0,1.5,3520000000.0,5.37,14790000000.0,110.4,2.0,17.71,2470000000.0,6460000000.0,25.3799991607666,30.68000030517578,21.770000457763672
DISCB,12650000000.0,24860000000.0,2.95,2.2,7.89,12.74,0.1042,0.18100000000000002,0.0397,0.11199999999999999,11890000000.0,20.43,0.23,6860000000.0,3550000000.0,1110000000.0,1.5,3520000000.0,5.37,14790000000.0,110.4,2.0,17.71,2470000000.0,6460000000.0,50.150001525878906,63.83000183105469,33.5099983215332
DISCK,12650000000.0,24860000000.0,1.43,1.06,7.89,12.74,0.1042,0.18100000000000002,0.0397,0.11199999999999999,11890000000.0,20.43,0.23,6860000000.0,3550000000.0,1110000000.0,1.5,3520000000.0,5.37,14790000000.0,110.4,2.0,17.71,2470000000.0,6460000000.0,24.270000457763672,28.979999542236328,19.600000381469727
DISH,22980000000.0,34640000000.0,1.47,1.6,7.79,37.32,0.14400000000000002,0.19329999999999997,0.0562,0.185,17990000000.0,34.13,-0.018000000000000002,5460000000.0,4230000000.0000005,2590000000.0,4.16,5250000000.0,9.92,17079999999.999998,111.33,1.15,28.28,3850000000.0,948000000.0,43.459999084472656,41.79999923706055,29.030000686645508
DJCO,467380000.0,200960000.0,9.29,2.19,14.82,3.47,2.8674,0.0947,0.0103,0.7990999999999999,50990000.0,36.93,0.053,10170000.0,5310000.0,146200000.0,105.89,358930000.0,259.95,33790000.0,13.19,14.0,185.45,3860000.0,-1140000.0,320.3699951171875,338.5,242.0
DKNG,19520000000.0,18200000000.0,17.47,8.85,85.52,-35.26,-1.2573999999999999,-1.2203,-0.25579999999999997,-0.7535,1140000000.0,2.88,0.602,267940000.0,-1280000000.0,-1440000000.0,-3.62,2390000000.0,5.89,1320000000.0,72.38,3.18,4.51,-457280000.0,-3360000.0,48.15999984741211,52.16999816894531,58.84000015258789
DLHC,146530000.0,229060000.0,0.71,2.49,3.72,33.9,0.037200000000000004,0.0726,0.0637,0.1514,231600000.0,18.54,0.196,45590000.0,24590000.0,8620000.0,0.64,739000.0,0.06,73670000.0,118.35,0.91,4.96,24130000.0,20780000.0,12.300000190734863,11.680000305175781,7.25
DLPN,92910000.0,100580000.0,3.25,4.26,10.7,117.23,-0.1476,-0.061799999999999994,-0.023399999999999997,-0.21420000000000003,31920000.0,4.33,0.7,21760000.0,-38060.0,-4710000.0,-0.65,12650000.0,1.59,16469999.999999998,70.01,1.29,3.03,-378640.0,-539710.0,12.15999984741211,9.34000015258789,3.450000047683716
DLTH,494350000.0,671590000.0,0.74,2.54,4.5,32.95,0.05,0.0737,0.0593,0.1816,683780000.0,20.99,0.07200000000000001,331530000.0,75280000.0,34170000.0,1.04,20390000.0,0.62,193810000.0,94.39,1.77,6.28,112120000.0,105150000.0,13.630000114440918,20.649999618530273,12.220000267028809
DLTR,24240000000.0,33189999999.999996,0.98,3.46,5.17,67.91,0.0529,0.0759,0.058600000000000006,0.1938,26010000000.0,112.92,0.039,7820000000.0,2680000000.0,1380000000.0,5.94,701400000.0,3.12,9770000000.0,134.86,1.25,32.21,2000000000.0,837600000.0,95.72000122070312,99.5,91.33999633789062
DMLP,678710000.0,660260000.0,10.42,6.43,27.55,36.62,0.6925,0.7197,0.3223,0.5377000000000001,73420000.0,2.11,0.9109999999999999,41230000.0,62970000.0,50840000.0,1.46,22320000.0,0.63,1960000.0,1.85,13.48,2.97,54820000.0,35580000.0,18.691926956176758,15.978716850280762,9.12276840209961
DMRC,583090000.0,530400000.0,21.36,8.95,82.66,-72.48,-1.3761,-1.2807,-0.26030000000000003,-0.5199,24950000.0,1.55,0.11599999999999999,16059999.999999998,-30010000.0,-45770000.0,-2.84,44190000.0,2.67,1950000.0,3.1,7.97,3.8,-23580000.0,-6470000.0,34.439998626708984,33.5,22.329999923706055
DMTK,954220000.0,686250000.0,83.39,3.57,226.48,-35.82,0.0,-5.5116,-0.2275,-0.4061,10790000.0,0.41,1.225,-96000.0,-58660000.0,-61760000.0,-2.34,249440000.0,8.39,8300000.000000001,3.3,23.54,8.48,-46170000.0,-22090000.0,32.11000061035156,41.56999969482422,11.949999809265137
DNLI,6160000000.0,4910000000.0,17.13,5.74,929.61,-58.9,0.08380000000000001,0.0721,0.0126,0.031200000000000002,352960000.0,2.92,-0.43700000000000006,123040000.0,34070000.0,29570000.0,0.24,1040000000.0,8.51,65239999.99999999,6.45,19.46,8.3,368020000.0,36300000.0,50.45000076293945,78.44000244140625,35.83000183105469
DOCU,58070000000.0,58230000000.0,34.59,240.73,113.77,-21460.0,-0.0572,-0.0334,-0.0183,-0.33640000000000003,1960000000.0,10.08,0.424,1090000000.0,9310000.0,-111940000.0,-0.58,818460000.0,4.14,901800000.0,376.42,0.96,1.21,480910000.0,748700000.0,257.42999267578125,279.57000732421875,215.24000549316406
DORM,3010000000.0,2890000000.0,2.54,3.36,8.31,55.26,0.1069,0.1362,0.0766,0.1537,1250000000.0,39.05,0.159,383120000.0,204760000.0,133400000.0,4.15,57260000.0,1.81,301890000.0,33.38,1.63,28.57,83850000.0,-29680000.0,94.66999816894531,103.66999816894531,90.37999725341797
DOX,9590000000.0,9440000000.0,2.31,2.64,8.68,45.78,0.1605,0.14400000000000002,0.0601,0.1886,4290000000.0,33.38,0.033,1500000000.0,826460000.0,688370000.0,5.32,965590000.0,7.67,881170000.0,24.24,1.59,28.53,925810000.0,605760000.0,75.70999908447266,76.99365234375,56.35914993286133
DRIO,225350000.0,161920000.0,12.51,1.91,28.77,-7.66,0.0,-3.7445,-0.48969999999999997,-0.9201999999999999,16570000.0,1.14,1.757,2510000.0,-59380000.0,-66360000.0,-4.63,51330000.0,3.1,359000.0,0.34,4.67,6.33,-42030000.0,-13730000.0,13.649999618530273,21.360000610351562,16.780000686645508
DRNA,1570000000.0,1040000000.0,8.55,14.13,16.54,-70.33,-0.6453,-0.6288,-0.1043,-0.9521999999999999,192850000.0,2.52,0.28800000000000003,-41080000.0,-116730000.0,-124440000.0,-1.63,565510000.0,7.26,64420000.0,59.83,2.46,1.38,21050000.0,-45580000.0,20.15999984741211,37.31999969482422,17.989999771118164
DRRX,291210000.0,227500000.0,31.89,3.96,105.08,-24.22,-2.8012,-4.0583,-0.2682,-0.7713,8890000.0,0.04,0.196,996000.0,-35900000.0,-38070000.0,-0.114,80800000.0,0.35,24520000.0,38.3,9.12,0.28,-34580000.0,-18780000.0,1.2799999713897705,1.6299999952316284,1.7100000381469727
DRTT,262250000.0,282880000.0,1.65,2.72,8.3,-26.45,-0.2849,-0.35960000000000003,-0.1788,-0.4203,146860000.0,1.73,-0.262,54280000.0,-45450000.0,-41830000.0,-0.493,43290000.0,0.51,77430000.0,94.49,2.54,0.96,-19170000.0,-44770000.0,3.0999999046325684,4.275000095367432,1.5800000429153442
